Row;Dim_0;Dim_1=0;Dim_2=0;Dim_3=0;Dim_4=0;Dim_5=0;Dim_6=0;Dim_7=0;Dim_8=0;Dim_9=0;Dim_10=0;Dim_11=0;Dim_12=0;Dim_13=0;Dim_14=0;Dim_15=0;Dim_16;Dim_17;Dim_18;Dim_19;Dim_20;;
0;0,750000;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0,001132;0,080780;0,197324;0,300926;0,225000;;
1;0,239583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000472;0,164345;0,235786;0,537037;0,165625;;
2;0,479167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003585;0,130919;0,167224;0,527778;0,118750;;
3;0,656250;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001698;0,091922;0,125418;0,337963;0,129688;;
4;0,229167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000472;0,142061;0,229097;0,337963;0,235938;;
5;0,708333;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000472;0,086351;0,140468;0,245370;0,189063;;
6;0,875000;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000472;0,125348;0,210702;0,402778;0,185937;;
7;0,489583;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003925;0,108635;0,140468;0,282407;0,168750;;
8;0,687500;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,002453;0,130919;0,142140;0,425926;0,121875;;
9;0,781250;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,158774;0,204013;0,513889;0,148438;;
10;0,635417;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0,020755;0,041783;0,118729;0,263889;0,150000;;
11;0,177083;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,000189;0,125348;0,160535;0,314815;0,176563;;
12;0,604167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001509;0,125348;0,153846;0,379630;0,144922;;
13;0,500000;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,001132;0,125348;0,185619;0,393519;0,170313;;
14;0,541667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,004340;0,108635;0,102007;0,361111;0,100000;;
15;0,395833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,097493;0,147157;0,250000;0,193750;;
16;0,395833;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,001132;0,108635;0,187291;0,384259;0,175000;;
17;0,666667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,003019;0,097493;0,127090;0,347222;0,129688;;
18;0,656250;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,060377;0,075209;0,138796;0,458333;0,107812;;
19;0,510417;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0,115094;0,050696;0,018395;0,458333;0,014062;;
20;0,781250;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,000189;0,113092;0,160535;0,388889;0,148438;;
21;0,635417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,006981;0,111978;0,140468;0,342593;0,145312;;
22;0,645833;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,003566;0,111978;0,182575;0,379630;0,171984;;
23;0,541667;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,001132;0,142061;0,224080;0,472222;0,175000;;
24;0,635417;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003925;0,113092;0,142140;0,351852;0,143750;;
